Date;Longitude;Latitude;Depth;Rms;Type;Magnitude;Location;EventID
2023-02-08T19:22:54;36.823;37.336;7;0.29;ML;2.9;Türkoğlu (Kahramanmaraş);544577
2023-02-08T19:20:38;36.364;36.318;16.75;0.47;ML;3.4;Reyhanlı (Hatay);544579
2023-02-08T19:18:33;36.09;36.259;6.99;0.26;ML;3.4;Antakya (Hatay);544578
2023-02-08T19:15:58;37.735;38.148;7.03;0.43;ML;2.6;Doğanşehir (Malatya);544576
2023-02-08T19:13:23;37.163;37.499;7;0.93;ML;3.5;Dulkadiroğlu (Kahramanmaraş);544572
2023-02-08T19:12:27;38.086;37.917;7;0.35;ML;3.1;Merkez (Adıyaman);544575
2023-02-08T19:11:33;38.636;38.209;7;0.26;ML;3;Pütürge (Malatya);544574
2023-02-08T19:05:18;36.526;38.008;7.06;0.63;MW;4;Göksun (Kahramanmaraş);544571
2023-02-08T19:03:43;35.991;36.073;6.29;0.49;ML;3.1;Samandağ (Hatay);544573
2023-02-08T18:58:53;36.262;34.09;5.24;0.79;MW;4.3;Baalbek, Beqaa (Lübnan) - [196.42 km] Yayladağı (Hatay);544582
2023-02-08T18:58:14;36.536;38.038;6.99;0.62;ML;3.3;Göksun (Kahramanmaraş);544569
2023-02-08T18:53:22;38.186;37.969;9.45;0.5;ML;3.2;Merkez (Adıyaman);544568
2023-02-08T18:51:10;37.188;38.079;12.69;0.55;ML;3.5;Ekinözü (Kahramanmaraş);544567
2023-02-08T18:50:21;36.816;37.315;7;0.37;ML;2.1;Türkoğlu (Kahramanmaraş);544566
2023-02-08T18:45:04;29.151;37.923;7.06;0.37;ML;1.2;Pamukkale (Denizli);544570
2023-02-08T18:40:24;37.275;38.022;7;0.5;MW;3.6;Nurhak (Kahramanmaraş);544561
2023-02-08T18:37:52;36.843;37.359;7;0.09;ML;2.1;Türkoğlu (Kahramanmaraş);544562
2023-02-08T18:35:26;39.653;38.604;6.9;0.6;ML;2.5;Merkez (Elazığ);544564
2023-02-08T18:35:10;37.158;37.53;6.56;0.51;MW;3.9;Dulkadiroğlu (Kahramanmaraş);544560
2023-02-08T18:33:23;41.028;39.119;7;0.62;ML;1.5;Karlıova (Bingöl);544565
2023-02-08T18:31:41;36.04;36.083;7;0.41;ML;2.4;Samandağ (Hatay);544563
2023-02-08T18:26:11;36.998;37.311;8.38;0.51;ML;2.8;Türkoğlu (Kahramanmaraş);544559
2023-02-08T18:19:00;36.598;37.768;12.67;0.81;ML;2.8;Onikişubat (Kahramanmaraş);544557
2023-02-08T18:17:51;36.325;37.911;7;0.47;ML;2;Göksun (Kahramanmaraş);544558
2023-02-08T17:57:20;40.62;39.75;7;0.29;MW;4.6;Aşkale (Erzurum);544554
2023-02-08T17:53:27;38.099;37.956;5.01;0.51;ML;3.2;Doğanşehir (Malatya);544556
2023-02-08T17:48:51;37.253;37.566;7.59;0.49;ML;2.9;Pazarcık (Kahramanmaraş);544555
2023-02-08T17:36:10;38.183;37.99;9.05;0.65;ML;2.9;Çelikhan (Adıyaman);544553
2023-02-08T17:31:53;38.101;37.976;7.01;0.44;ML;2.8;Doğanşehir (Malatya);544552
2023-02-08T17:15:19;37.689;37.85;6.8;0.74;ML;3.2;Gölbaşı (Adıyaman);544551
2023-02-08T17:06:37;37.444;38.858;7;0.37;ML;3.7;Gürün (Sivas);544549
2023-02-08T17:03:58;36.686;37.875;6.5;0.5;ML;3;Onikişubat (Kahramanmaraş);544550
2023-02-08T17:01:12;37.203;38.079;7.06;0.45;ML;3.2;Ekinözü (Kahramanmaraş);544548
2023-02-08T16:59:20;36.698;37.137;8.3;0.44;ML;3.6;Nurdağı (Gaziantep);544547
2023-02-08T16:55:39;37.207;38.089;17.56;0.6;MW;4.2;Ekinözü (Kahramanmaraş);544546
2023-02-08T16:44:28;38.228;37.917;7.11;0.37;ML;3.3;Merkez (Adıyaman);544543
2023-02-08T16:40:33;36.608;37.826;7.46;0.61;ML;3.1;Onikişubat (Kahramanmaraş);544541
2023-02-08T16:39:59;39.558;38.423;7.11;0.06;ML;1.7;Maden (Elazığ);544545
2023-02-08T16:36:35;39.629;38.489;7.12;0.28;ML;2.2;Maden (Elazığ);544544
2023-02-08T16:31:28;37.46;37.702;7;0.39;ML;2.9;Çağlayancerit (Kahramanmaraş);544542
2023-02-08T16:26:19;37.171;37.471;14.93;0.37;ML;3.1;Dulkadiroğlu (Kahramanmaraş);544537
2023-02-08T16:26:10;35.957;36.369;7;0.34;ML;3.7;Arsuz (Hatay);544536
2023-02-08T16:19:20;36.769;37.254;6.71;0.41;ML;2.4;Türkoğlu (Kahramanmaraş);544539
2023-02-08T16:18:18;37.454;37.959;7;0.45;ML;2.8;Nurhak (Kahramanmaraş);544540
2023-02-08T16:15:05;37.333;37.583;11.33;0.61;ML;3.1;Pazarcık (Kahramanmaraş);544538
2023-02-08T16:10:35;36.532;38.086;6.92;0.83;ML;3.3;Göksun (Kahramanmaraş);544535
2023-02-08T16:03:57;36.619;37.831;7;0.6;ML;3.5;Onikişubat (Kahramanmaraş);544534
2023-02-08T16:00:48;36.691;37.152;7.14;0.26;ML;2.1;Nurdağı (Gaziantep);544533
2023-02-08T15:56:51;37.093;37.35;7.2;0.46;ML;3.3;Pazarcık (Kahramanmaraş);544532
2023-02-08T15:54:34;36.653;37.154;5.76;0.69;ML;3.7;İslahiye (Gaziantep);544531
2023-02-08T15:54:02;36.686;37.141;7;0.37;ML;3;Nurdağı (Gaziantep);544530
2023-02-08T15:49:57;36.607;37.852;8.55;0.72;MW;4.2;Onikişubat (Kahramanmaraş);544528
2023-02-08T15:46:22;37.074;37.508;7;0.28;MW;3.9;Dulkadiroğlu (Kahramanmaraş);544529
2023-02-08T15:42:47;36.602;37.007;7;0.64;ML;3.2;İslahiye (Gaziantep);544527
2023-02-08T15:40:35;37.021;37.268;7.06;0.54;ML;2.7;Pazarcık (Kahramanmaraş);544526
2023-02-08T15:37:44;37.026;37.326;9.2;0.27;ML;2.3;Türkoğlu (Kahramanmaraş);544524
2023-02-08T15:30:26;36.943;37.43;13.71;0.41;ML;1.9;Dulkadiroğlu (Kahramanmaraş);544522
2023-02-08T15:28:04;38.638;38.221;7;0.54;ML;2.5;Pütürge (Malatya);544523
2023-02-08T15:26:24;36.526;36.839;6.93;0.65;ML;2.9;Hassa (Hatay);544520
2023-02-08T15:24:17;37.041;37.457;4.73;0.37;ML;2.3;Dulkadiroğlu (Kahramanmaraş);544519
2023-02-08T15:04:41;36.982;38.061;7;0.35;MW;4.2;Göksun (Kahramanmaraş);544513
2023-02-08T15:02:05;36.856;37.341;8.88;0.54;ML;3.4;Türkoğlu (Kahramanmaraş);544512
2023-02-08T14:55:49;38.534;38.162;7;0.68;ML;4.3;Battalgazi (Malatya);544515
2023-02-08T14:53:09;36.671;37.838;7;0.5;ML;3.3;Onikişubat (Kahramanmaraş);544514
