Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"2023-02-06T07:26:57",38.299,38.109,6.37,0.43,"ML",3.7,"Çat Barajı - [01.56 km] Çelikhan (Adıyaman)",543545
"2023-02-06T07:27:27",38.196,37.967,7,0.12,"ML",3.3,"Merkez (Adıyaman)",543546
"2023-02-06T07:29:01",38.458,38.469,7,0.39,"ML",3,"Battalgazi (Malatya)",543548
"2023-02-06T07:31:02",37.186,37.341,7,0.76,"ML",4.1,"Pazarcık (Kahramanmaraş)",543549
"2023-02-06T07:32:34",38.186,37.993,7,0.16,"ML",3.6,"Çelikhan (Adıyaman)",543551
"2023-02-06T07:33:59",37.116,37.378,12.58,0.3,"ML",3.6,"Pazarcık (Kahramanmaraş)",543554
"2023-02-06T07:35:36",37.075,37.331,6.32,0.2,"ML",3.9,"Pazarcık (Kahramanmaraş)",543555
"2023-02-06T07:38:44",36.937,37.139,7,0.87,"ML",3.8,"Nurdağı (Gaziantep)",543557
"2023-02-06T07:41:12",37.946,37.935,7.69,0.29,"MW",4.2,"Doğanşehir (Malatya)",543552
"2023-02-06T07:43:09",37.838,37.947,7,0.85,"ML",3.7,"Doğanşehir (Malatya)",543553
"2023-02-06T07:47:35",38.125,37.982,12.17,0.35,"ML",3.5,"Doğanşehir (Malatya)",543556
"2023-02-06T07:49:05",37.436,37.743,7,0.47,"ML",3.4,"Çağlayancerit (Kahramanmaraş)",543559
"2023-02-06T07:50:50",40.393,39.119,7,0.72,"ML",3.4,"Merkez (Bingöl)",543563
"2023-02-06T07:53:12",39.535,38.601,7.1,0.41,"ML",2.7,"Merkez (Elazığ)",543564
"2023-02-06T07:59:16",40.896,38.585,7.04,0.3,"ML",2.6,"Kulp (Diyarbakır)",543565
"2023-02-06T07:59:29",40.703,40.133,6.99,0.71,"ML",2.3,"Aziziye (Erzurum)",543566
"2023-02-06T08:02:13",38.002,37.892,15.5,0.39,"MW",4.5,"Doğanşehir (Malatya)",543558
"2023-02-06T08:04:41",37.671,37.83,7.05,0.32,"ML",3.5,"Gölbaşı (Adıyaman)",543560
"2023-02-06T08:08:39",36.994,37.238,12.27,0.1,"ML",3.8,"Nurdağı (Gaziantep)",543561
"2023-02-06T08:12:50",37.188,37.454,6.86,0.16,"ML",3.4,"Pazarcık (Kahramanmaraş)",543562
"2023-02-06T08:17:04",38.675,38.208,7.02,0.08,"ML",2.9,"Pütürge (Malatya)",543583
"2023-02-06T08:21:32",37.417,37.8,7.16,0.77,"ML",3.6,"Çağlayancerit (Kahramanmaraş)",543582
"2023-02-06T08:25:50",37.034,37.186,7.04,0.28,"ML",3.8,"Şehitkamil (Gaziantep)",543581
"2023-02-06T08:29:27",37.994,37.918,7,0.43,"ML",3.3,"Doğanşehir (Malatya)",543585
"2023-02-06T08:36:05",37.903,38.051,7.64,0.33,"ML",3.2,"Doğanşehir (Malatya)",543574
"2023-02-06T08:38:23",38.539,38.145,6.94,0.41,"ML",3.2,"Sincik (Adıyaman)",543573
"2023-02-06T08:40:19",38.307,38.078,7.95,0.43,"ML",3.8,"Çelikhan (Adıyaman)",543571
"2023-02-06T08:43:10",39.856,39.192,39.26,0.37,"ML",2.6,"Nazımiye (Tunceli)",543575
"2023-02-06T08:44:41",38.433,38.134,7.15,0.1,"ML",3.5,"Sincik (Adıyaman)",543578
"2023-02-06T08:45:33",37.167,37.397,6.55,0.6,"ML",4,"Pazarcık (Kahramanmaraş)",543569
"2023-02-06T08:47:01",36.118,36.708,7,0.72,"ML",3.8,"Akdeniz - İskenderun Körfezi - [09.65 km] Payas (Hatay)",543570
"2023-02-06T08:51:01",37.177,37.404,8.85,0.11,"ML",3.4,"Pazarcık (Kahramanmaraş)",543572
"2023-02-06T08:52:37",37.155,37.518,7,0.35,"MW",4.6,"Dulkadiroğlu (Kahramanmaraş)",543567
"2023-02-06T08:58:36",38.31,38.03,7.85,0.87,"MW",4.5,"Çelikhan (Adıyaman)",543568
"2023-02-06T09:01:35",36.426,36.639,5.17,0.47,"ML",3.6,"Kırıkhan (Hatay)",543576
"2023-02-06T09:03:29",36.637,37.062,7,0.49,"ML",3.2,"İslahiye (Gaziantep)",543579
"2023-02-06T09:05:55",36.99,37.458,7.77,0.89,"ML",4,"Dulkadiroğlu (Kahramanmaraş)",543584
"2023-02-06T09:11:43",36.848,37.371,6.97,0.81,"ML",3.8,"Türkoğlu (Kahramanmaraş)",543587
"2023-02-06T09:21:00",38.132,38.035,7,0.85,"MW",4.4,"Çelikhan (Adıyaman)",543580
"2023-02-06T09:23:45",36.441,36.963,7,0.42,"MW",4.8,"Merkez (Osmaniye)",543577
"2023-02-06T09:30:56",35.4,38.677,27.66,0.04,"ML",3.4,"Melikgazi (Kayseri)",543588
"2023-02-06T09:32:15",35.291,38.724,7,0.37,"ML",3.2,"İncesu (Kayseri)",543589
"2023-02-06T09:36:16",36.888,37.251,13.29,0.31,"MW",4.7,"Nurdağı (Gaziantep)",543586
"2023-02-06T09:48:43",39.515,38.87,7,0.46,"ML",4.2,"Pertek (Tunceli)",543590
"2023-02-06T09:54:21",37.652,37.8,7,1,"ML",4,"Gölbaşı Gölü - [01.23 km] Gölbaşı (Adıyaman)",543592
"2023-02-06T10:07:31",35.302,35.424,7.08,0.98,"ML",4.6,"Akdeniz",543591
"2023-02-06T10:14:56",37.366,37.59,7,0.45,"ML",3.7,"Pazarcık (Kahramanmaraş)",543596
"2023-02-06T10:21:38",37.372,37.605,5.3,0.24,"ML",3.6,"Pazarcık (Kahramanmaraş)",543597
"2023-02-06T10:24:47",37.239,38.089,7,0.58,"MW",7.6,"Elbistan (Kahramanmaraş)",543593
"2023-02-06T10:32:08",37.227,38.042,9.5,0.67,"ML",5.5,"Ekinözü (Kahramanmaraş)",543595
"2023-02-06T10:35:57",37.954,38.181,6.85,0.61,"ML",5.6,"Doğanşehir (Malatya)",543594
"2023-02-06T10:38:56",37.636,37.978,7.3,0.93,"ML",4.7,"Doğanşehir (Malatya)",543598
"2023-02-06T10:51:28",38.191,38.311,7,0.93,"ML",5.7,"Yeşilyurt (Malatya)",543599
"2023-02-06T10:55:05",38.469,38.641,7,0.89,"ML",4.5,"Baskil (Elazığ)",543603
"2023-02-06T11:00:07",36.457,38.039,7.25,0.83,"ML",4.3,"Göksun (Kahramanmaraş)",543608
"2023-02-06T11:04:36",36.852,38.106,20.55,0.94,"ML",4.3,"Göksun (Kahramanmaraş)",543606
"2023-02-06T11:05:35",36.576,38.088,5.67,0.86,"ML",4.9,"Göksun (Kahramanmaraş)",543601
"2023-02-06T11:11:37",37.302,37.968,28.51,0.84,"ML",4.8,"Nurhak (Kahramanmaraş)",543600
"2023-02-06T11:13:45",37.723,37.655,7,0.99,"ML",3.8,"Besni (Adıyaman)",543602
"2023-02-06T11:16:38",36.565,38.114,7,0.78,"ML",4.5,"Göksun (Kahramanmaraş)",543604
"2023-02-06T11:18:25",40.416,38.534,13.52,0.28,"ML",3.2,"Hani (Diyarbakır)",543609
"2023-02-06T11:20:21",37.871,38.169,12.28,0.74,"ML",4.3,"Doğanşehir (Malatya)",543605
"2023-02-06T11:27:59",38.29,38.062,11.78,0.8,"ML",4.4,"Çelikhan (Adıyaman)",543607
"2023-02-06T11:30:42",38.067,38.255,6.52,0.63,"ML",4.4,"Akçadağ (Malatya)",543612
"2023-02-06T11:35:26",37.504,38.005,7.48,0.75,"ML",4.5,"Nurhak (Kahramanmaraş)",543610
"2023-02-06T11:39:41",36.529,38.052,7.03,0.65,"ML",4.8,"Göksun (Kahramanmaraş)",543611
"2023-02-06T11:43:50",37.094,37.341,6.81,0.33,"ML",3.8,"Pazarcık (Kahramanmaraş)",543613
"2023-02-06T11:48:51",38.012,38.224,7.53,0.99,"ML",3.6,"Yeşilyurt (Malatya)",543616
"2023-02-06T11:50:04",36.535,38.003,16.71,0.77,"ML",4.2,"Göksun (Kahramanmaraş)",543619
"2023-02-06T11:58:36",37.686,38.004,12.33,0.35,"ML",4.8,"Doğanşehir (Malatya)",543615
"2023-02-06T12:02:11",36.478,38.071,17.04,0.93,"MW",5.9,"Göksun (Kahramanmaraş)",543617
"2023-02-06T12:13:45",37.483,37.988,7,0.3,"MW",5.1,"Nurhak (Kahramanmaraş)",543618
"2023-02-06T12:16:27",36.932,37.205,7,0.14,"ML",3.5,"Nurdağı (Gaziantep)",543623
"2023-02-06T12:19:10",37.8,38.017,8.52,0.39,"ML",3.8,"Doğanşehir (Malatya)",543624
"2023-02-06T12:21:18",36.435,38.027,6.96,0.47,"ML",4.5,"Göksun (Kahramanmaraş)",543622
"2023-02-06T12:27:47",36.913,37.186,6.77,0.35,"ML",3.7,"Nurdağı (Gaziantep)",543620
"2023-02-06T12:28:39",38.476,38.098,7,0.44,"ML",4,"Sincik (Adıyaman)",543621
"2023-02-06T12:32:47",38.214,37.925,5.67,0.09,"ML",4,"Merkez (Adıyaman)",543629
"2023-02-06T12:34:42",38.248,38.259,7,0.59,"ML",4.7,"Yeşilyurt (Malatya)",543625
"2023-02-06T12:36:36",38.336,38.062,11.09,0.67,"ML",4.6,"Çelikhan (Adıyaman)",543628
"2023-02-06T12:39:16",38.236,38.243,7.04,0.61,"ML",4.3,"Yeşilyurt (Malatya)",543626
"2023-02-06T12:45:19",36.421,38.055,6.97,0.39,"ML",4.3,"Göksun (Kahramanmaraş)",543631
"2023-02-06T12:47:59",36.957,38.126,7,0.39,"ML",4.4,"Göksun (Kahramanmaraş)",543634
"2023-02-06T12:52:48",36.983,37.492,7,0.54,"ML",3.9,"Dulkadiroğlu (Kahramanmaraş)",543627
"2023-02-06T12:54:42",36.782,38.01,7.03,0.64,"ML",4.4,"Göksun (Kahramanmaraş)",543630
"2023-02-06T12:55:45",36.623,38.028,7.07,0.46,"ML",4.2,"Göksun (Kahramanmaraş)",543632
"2023-02-06T12:58:46",36.601,37.979,7.02,0.8,"ML",4,"Onikişubat (Kahramanmaraş)",543633
"2023-02-06T13:00:13",38.194,38.337,7.06,0.48,"ML",4.3,"Yeşilyurt (Malatya)",543635
"2023-02-06T13:13:59",38.231,38.01,6.98,0.88,"ML",4.5,"Çelikhan (Adıyaman)",543637
"2023-02-06T13:17:42",36.588,38.075,5.53,0.64,"MW",5.2,"Göksun (Kahramanmaraş)",543636
"2023-02-06T13:39:23",37.623,38.042,8.09,0.52,"MW",5.3,"Doğanşehir (Malatya)",543638
"2023-02-06T13:44:49",37.566,38.014,6.83,0.5,"ML",5.1,"Nurhak (Kahramanmaraş)",543639
"2023-02-06T13:52:02",38.129,38.309,7.11,0.8,"ML",3.7,"Yeşilyurt (Malatya)",543641
"2023-02-06T13:58:50",36.519,38.069,7,0.62,"ML",4.2,"Göksun (Kahramanmaraş)",543642
"2023-02-06T14:03:08",37.804,38.106,14.07,0.49,"ML",4.2,"Doğanşehir (Malatya)",543645
"2023-02-06T14:04:51",36.544,37.955,7.23,0.73,"ML",4.4,"Göksun (Kahramanmaraş)",543646
"2023-02-06T14:06:30",37.121,37.321,6.85,0.31,"ML",3.3,"Pazarcık (Kahramanmaraş)",543647
"2023-02-06T14:10:10",37.467,38.003,7.17,0.4,"MW",4.7,"Nurhak (Kahramanmaraş)",543643
"2023-02-06T14:14:51",36.889,37.47,7.12,0.38,"ML",4.2,"Türkoğlu (Kahramanmaraş)",543648
"2023-02-06T14:17:16",37.541,37.984,7.47,0.82,"ML",4.1,"Nurhak (Kahramanmaraş)",543650
"2023-02-06T14:20:49",38.216,38.24,6.98,0.52,"ML",4.1,"Yeşilyurt (Malatya)",543652
"2023-02-06T14:22:39",38.119,38.327,6.87,0.44,"ML",3.8,"Yeşilyurt (Malatya)",543654
"2023-02-06T14:24:49",37.184,37.514,7,0.31,"ML",4,"Dulkadiroğlu (Kahramanmaraş)",543649
"2023-02-06T14:27:09",37.701,38.145,6.22,0.57,"ML",3.5,"Elbistan (Kahramanmaraş)",543653
"2023-02-06T14:27:43",36.51,36.853,9.17,0.67,"ML",4.7,"Hassa (Hatay)",543651
"2023-02-06T14:29:57",36.42,37.962,7.02,0.49,"MW",4.7,"Göksun (Kahramanmaraş)",543655
"2023-02-06T14:37:54",36.61,36.949,6.8,0.47,"MW",4.1,"İslahiye (Gaziantep)",543656
"2023-02-06T14:41:55",37.869,38.142,7.08,0.57,"MW",4.1,"Doğanşehir (Malatya)",543659
"2023-02-06T14:46:26",34.504,36.802,7,0.09,"ML",2.7,"Mezitli (Mersin)",543661
"2023-02-06T14:51:15",38.491,38.008,7.2,0.61,"MW",4.4,"Sincik (Adıyaman)",543657
